id_venda,status,produto,pais,data_criacao,forma_pagamento,valor_bruto,valor_liquido,taxas,moeda,motivo_recusa,utm_source,utm_medium,utm_campaign,dia
8rLbnrd,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-02 06:31:50,mastercard,47.0,40.28,6.72,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-02
Uf8WjGz,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-02 05:34:57,visa,47.0,40.28,6.72,BRL,,Facebook_Mobile_Feed,[Fase01][CursoMetodologias][30.01][Criativo07],[Fase01][CursoMetodologias][30.01][Criativo07],2025-07-02
k219wFe,waiting_payment,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-01 19:29:37,pix,47.0,40.28,6.72,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-01
GW6fEZl,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,,2025-07-01 15:59:09,pix,47.0,40.28,6.72,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-01
TnhqIVO,paid,CARDS DE LAYOUTS,br,2025-07-01 14:10:45,mastercard,7.9,7.19,0.71,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-01
DskSNQD,paid,BIBLIOTECA DE RECURSOS,,2025-07-01 14:10:45,mastercard,19.9,18.11,1.79,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-01
EFd3EkC,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,,2025-07-01 14:10:40,mastercard,47.0,40.28,6.72,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-01
qsiPz8E,paid,Pack Feed Irresistível - Psicologia,br,2025-07-01 13:44:48,pix,37.0,31.18,5.82,BRL,,,,,2025-07-01
7K3u4WG,paid,30 ROTEIROS - PSICOLOGIA,br,2025-07-01 13:17:54,mastercard,9.9,9.01,0.89,BRL,,,,,2025-07-01
oAPSueh,paid,Pack Feed Irresistível - Psicologia,br,2025-07-01 13:17:50,mastercard,37.0,31.18,5.82,BRL,,,,,2025-07-01
l84Si8u,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,,2025-07-01 10:17:56,pix,47.0,40.28,6.72,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-01
VcyAa2V,waiting_payment,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,,2025-07-01 10:11:48,pix,47.0,40.28,6.72,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][19.06][criativo01new],[Fase2][CursoMetodologias][19.06][Criativo01new],2025-07-01
UfYvDGO,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-01 10:02:13,pix,47.0,40.28,6.72,BRL,,,,,2025-07-01
