id_venda,status,produto,pais,data_criacao,forma_pagamento,valor_bruto,valor_liquido,taxas,moeda,motivo_recusa,utm_source,utm_medium,utm_campaign,dia
P14tjA8,waiting_payment,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-10 23:55:27,pix,47.0,40.28,6.72,BRL,,Instagram_Feed,[Fase01][CursoMetodologias][10.07][Criativo11],[Fase01][CursoMetodologias][10.07][Criativo11],2025-07-10
0HtUlpq,paid,CARDS DE LAYOUTS,br,2025-07-10 12:47:05,pix,7.9,7.19,0.71,BRL,,Instagram_Feed,[Fase01][CursoMetodologias][10.07][Criativo12],[Fase01][CursoMetodologias][10.07][Criativo12],2025-07-10
jQyJtxA,paid,BIBLIOTECA DE RECURSOS,br,2025-07-10 12:47:05,pix,19.9,18.11,1.79,BRL,,Instagram_Feed,[Fase01][CursoMetodologias][10.07][Criativo12],[Fase01][CursoMetodologias][10.07][Criativo12],2025-07-10
edCFdle,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-10 12:47:03,pix,47.0,40.28,6.72,BRL,,Instagram_Feed,[Fase01][CursoMetodologias][10.07][Criativo12],[Fase01][CursoMetodologias][10.07][Criativo12],2025-07-10
OBXCIo7,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-10 11:19:50,mastercard,47.0,40.28,6.72,BRL,,Instagram_Stories,[Fase02][CursoMetodologias][07.07][Criativo01new],[Fase02][CursoMetodologias][07.07][Criativo01new],2025-07-10
8928XVP,refused,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-10 11:19:35,mastercard,47.0,40.28,6.72,BRL,refused_bank,Instagram_Stories,[Fase02][CursoMetodologias][07.07][Criativo01new],[Fase02][CursoMetodologias][07.07][Criativo01new],2025-07-10
mRuDtmb,paid,FORMAÇÃO STORYTELLING NA EDUCAÇÃO,br,2025-07-10 10:27:03,pix,9.9,9.01,0.89,BRL,,Instagram_Stories,[Fase01][CursoMetodologias][10.07][Criativo11],[Fase01][CursoMetodologias][10.07][Criativo11],2025-07-10
QOjqP7g,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-10 10:27:00,pix,47.0,40.28,6.72,BRL,,Instagram_Stories,[Fase01][CursoMetodologias][10.07][Criativo11],[Fase01][CursoMetodologias][10.07][Criativo11],2025-07-10
cUbTHPH,paid,BIBLIOTECA DE RECURSOS,br,2025-07-10 09:32:55,pix,19.9,18.11,1.79,BRL,,,,,2025-07-10
XTDnJ2t,paid,GAMIFICAÇÃO & INTELIGÊNCIA ARTIFICIAL,br,2025-07-10 09:32:53,pix,27.0,22.08,4.92,BRL,,,,,2025-07-10
ON892H5,waiting_payment,CARDS DE LAYOUTS,br,2025-07-10 07:58:38,pix,9.9,9.01,0.89,BRL,,{{placement}},{{ad.name}},{{campaign.name}},2025-07-10
WaMjzd3,waiting_payment,BIBLIOTECA DE RECURSOS,br,2025-07-10 07:58:38,pix,19.9,18.11,1.79,BRL,,{{placement}},{{ad.name}},{{campaign.name}},2025-07-10
SQ3hle0,waiting_payment,GAMIFICAÇÃO & INTELIGÊNCIA ARTIFICIAL,br,2025-07-10 07:58:36,pix,27.0,22.08,4.92,BRL,,{{placement}},{{ad.name}},{{campaign.name}},2025-07-10
fnXcABW,paid,Planner Pro Minimalista,br,2025-07-09 10:29:56,visa,24.99,20.25,4.74,BRL,,,,,2025-07-09
mA4NlbU,paid,FORMAÇÃO STORYTELLING NA EDUCAÇÃO,br,2025-07-09 08:45:38,pix,9.9,9.01,0.89,BRL,,Instagram_Reels,[Fase02][CursoMetodologias][07.07][Criativo01new],[Fase02][CursoMetodologias][07.07][Criativo01new],2025-07-09
J5DIYHL,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-09 08:45:36,pix,27.0,22.08,4.92,BRL,,Instagram_Reels,[Fase02][CursoMetodologias][07.07][Criativo01new],[Fase02][CursoMetodologias][07.07][Criativo01new],2025-07-09
s8NdGlU,paid,Pack Feed Irresistível - Psicologia,br,2025-07-08 19:33:27,mastercard,37.0,12.47,5.82,BRL,,,,,2025-07-08
t5D4YzQ,paid,Feed Irresistível - Psicologia Infantil,br,2025-07-08 18:34:01,mastercard,37.0,12.47,5.82,BRL,,,,,2025-07-08
40qfji1,paid,30 ROTEIROS - PSICOLOGIA INFANTIL,br,2025-07-08 15:24:30,pix,9.9,9.01,0.89,BRL,,Instagram_Stories,[Fase01][PsicologiaInfantil][04.07][Criativo01],[Fase01][PsicologiaInfantil][04.07][Criativo01],2025-07-08
X5oQuqm,paid,Feed Irresistível - Psicologia Infantil,br,2025-07-08 15:24:27,pix,37.0,31.18,5.82,BRL,,Instagram_Stories,[Fase01][PsicologiaInfantil][04.07][Criativo01],[Fase01][PsicologiaInfantil][04.07][Criativo01],2025-07-08
q3bKKhB,paid,CARDS DE LAYOUTS,br,2025-07-08 09:50:47,pix,7.9,7.19,0.71,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][07.07][Criativo01new],[Fase02][CursoMetodologias][07.07][Criativo01new],2025-07-08
Duao3UW,paid,FORMAÇÃO STORYTELLING NA EDUCAÇÃO,br,2025-07-08 09:50:47,pix,9.9,9.01,0.89,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][07.07][Criativo01new],[Fase02][CursoMetodologias][07.07][Criativo01new],2025-07-08
zKVjmT5,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-08 09:50:45,pix,47.0,40.28,6.72,BRL,,Instagram_Feed,[Fase02][CursoMetodologias][07.07][Criativo01new],[Fase02][CursoMetodologias][07.07][Criativo01new],2025-07-08
gdGT8iK,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-07 20:56:17,pix,47.0,40.28,6.72,BRL,,Facebook_Desktop_Feed,[Fase02][CursoMetodologias][07.07][Criativo01new],[Fase02][CursoMetodologias][07.07][Criativo01new],2025-07-07
b7VdjeO,paid,CARDS DE LAYOUTS,br,2025-07-07 14:18:07,pix,7.9,7.19,0.71,BRL,,,,,2025-07-07
zaxeFhJ,paid,COMUNIDADE PROFESSOR PRO,br,2025-07-07 14:18:05,pix,97.0,85.79,11.21,BRL,,,,,2025-07-07
bZ6oaAJ,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-07 09:58:25,pix,47.0,40.28,6.72,BRL,,Instagram_Reels,[Fase02][CursoMetodologias][07.07][Criativo01new],[Fase02][CursoMetodologias][07.07][Criativo01new],2025-07-07
pexu6FM,paid,FORMAÇÃO STORYTELLING NA EDUCAÇÃO,br,2025-07-06 14:55:05,pix,9.9,9.01,0.89,BRL,,,,,2025-07-06
L7QYDzR,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-06 14:55:03,pix,47.0,40.28,6.72,BRL,,,,,2025-07-06
6Zh0AeM,paid,30 ROTEIROS - PSICOLOGIA,br,2025-07-06 11:00:12,pix,9.9,9.01,0.89,BRL,,Instagram_Stories,[Fase01][PackPsicologia][04.07][Criativo01],[Fase01][PackPsicologia][04.07][Criativo01],2025-07-06
UamOUTk,paid,Pack Feed Irresistível - Psicologia,br,2025-07-06 11:00:10,pix,37.0,31.18,5.82,BRL,,Instagram_Stories,[Fase01][PackPsicologia][04.07][Criativo01],[Fase01][PackPsicologia][04.07][Criativo01],2025-07-06
